"run","arm","batch","seed","configured_epochs","saved_epoch_files","epoch27_exists","epoch30_exists","done_status","done_epochs","run_path"
"FULL_B16_S123","FULL","16","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B16_S123"
"FULL_B16_S456","FULL","16","456","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B16_S456"
"FULL_B16_S789","FULL","16","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B16_S789"
"FULL_B8_S123","FULL","8","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B8_S123"
"FULL_B8_S456","FULL","8","456","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B8_S456"
"FULL_B8_S789","FULL","8","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\FULL_B8_S789"
"NO_LAPLACIAN_B16_S123","NO_LAPLACIAN","16","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_LAPLACIAN_B16_S123"
"NO_LAPLACIAN_B16_S456","NO_LAPLACIAN","16","456","30","13","False","False",,,"F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_LAPLACIAN_B16_S456"
"NO_LAPLACIAN_B8_S789","NO_LAPLACIAN","8","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_LAPLACIAN_B8_S789"
"NO_MESSAGE_B16_S123","NO_MESSAGE","16","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B16_S123"
"NO_MESSAGE_B16_S456","NO_MESSAGE","16","456","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B16_S456"
"NO_MESSAGE_B16_S789","NO_MESSAGE","16","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B16_S789"
"NO_MESSAGE_B8_S123","NO_MESSAGE","8","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B8_S123"
"NO_MESSAGE_B8_S456","NO_MESSAGE","8","456","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B8_S456"
"NO_MESSAGE_B8_S789","NO_MESSAGE","8","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\NO_MESSAGE_B8_S789"
"OLD_ONLY_B16_S123","OLD_ONLY","16","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\OLD_ONLY_B16_S123"
"OLD_ONLY_B16_S456","OLD_ONLY","16","456","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\OLD_ONLY_B16_S456"
"OLD_ONLY_B16_S789","OLD_ONLY","16","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\OLD_ONLY_B16_S789"
"OLD_ONLY_B8_S123","OLD_ONLY","8","123","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\OLD_ONLY_B8_S123"
"OLD_ONLY_B8_S789","OLD_ONLY","8","789","30","30","True","True","COMPLETE","30","F:\wang\GNN\codex_archive_20260730\lunwen\xinF\G0_TWO_BATCH_THREE_SEED30_ABLATIONS_V1_RUNS\OLD_ONLY_B8_S789"
